archive_path,source_path,tensor_index,tensor_name,role,dtype,shape,source_tensor_bytes,archive_record_bytes,program_bytes,record_framing_bytes,saved_bytes_vs_record,source_over_record_ratio,record_percent_of_source,program_selection,root_operator,node_count,max_depth,literal_count,literal_semantic_storage_bytes,literal_body_bytes,operator_counts,operator_exclusive_bytes,literal_codec_counts,literal_codec_body_bytes,literal_codec_semantic_bytes,literal_codec_payload_bytes,stored_xxh3_64_le_bytes_hex
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,0,model.embed_tokens.weight,embedding,BF16,128256x4096,1050673152,691938594,691938542,52,358734558,1.51844854603,65.8566931765,literal_fallback,literal,1,1,1,1050673152,691938525,"{""literal"":1}","{""literal"":691938537}","{""huffman"":1}","{""huffman"":691938525}","{""huffman"":1050673152}","{""huffman"":691892722}",9540b151e4754fe7
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,1,model.layers.0.input_layernorm.weight,norm,BF16,4096,8192,5906,5851,55,2286,1.38706400271,72.0947265625,synthesized,merge.byte_planes,3,2,2,8192,5831,"{""literal"":2,""merge.byte_planes"":1}","{""literal"":5843,""merge.byte_planes"":3}","{""huffman"":1,""raw"":1}","{""huffman"":1734,""raw"":4097}","{""huffman"":4096,""raw"":4096}","{""huffman"":1606,""raw"":4096}",4f44f9795ff94f4c
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,2,model.layers.0.mlp.down_proj.weight,mlp,BF16,4096x14336,117440512,77123952,77123893,59,40316560,1.52275018272,65.6706537519,synthesized,merge.fields,3,2,2,176160768,77123864,"{""literal"":2,""merge.fields"":1}","{""literal"":77123884,""merge.fields"":4}","{""rans"":2}","{""rans"":77123864}","{""rans"":176160768}","{""rans"":77120222}",5f99ac0cd4d70e73
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,3,model.layers.0.mlp.gate_proj.weight,mlp,BF16,14336x4096,117440512,77202071,77202012,59,40238441,1.52120934683,65.737171684,synthesized,merge.fields,3,2,2,176160768,77201983,"{""literal"":2,""merge.fields"":1}","{""literal"":77202003,""merge.fields"":4}","{""rans"":2}","{""rans"":77201983}","{""rans"":176160768}","{""rans"":77198325}",bf92c4261210aaca
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,4,model.layers.0.mlp.up_proj.weight,mlp,BF16,14336x4096,117440512,77144851,77144794,57,40295661,1.52233766062,65.6884491444,synthesized,merge.fields,3,2,2,176160768,77144765,"{""literal"":2,""merge.fields"":1}","{""literal"":77144785,""merge.fields"":4}","{""rans"":2}","{""rans"":77144765}","{""rans"":176160768}","{""rans"":77141323}",2b085bdef3ff3dc2
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,5,model.layers.0.post_attention_layernorm.weight,norm,BF16,4096,8192,2751,2687,64,5441,2.977826245,33.5815429688,synthesized,merge.fields,3,2,2,12288,2666,"{""literal"":2,""merge.fields"":1}","{""literal"":2678,""merge.fields"":4}","{""huffman"":1,""rans"":1}","{""huffman"":1930,""rans"":736}","{""huffman"":4096,""rans"":8192}","{""huffman"":1837,""rans"":411}",1ec96f123ab00d94
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,6,model.layers.0.self_attn.k_proj.weight,attention,BF16,1024x4096,8388608,5945050,5944988,62,2443558,1.41102396111,70.8705186844,synthesized,merge.fields,3,2,2,12582912,5944960,"{""literal"":2,""merge.fields"":1}","{""literal"":5944979,""merge.fields"":4}","{""rans"":2}","{""rans"":5944960}","{""rans"":12582912}","{""rans"":5941478}",0faf4a48653f6698
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,7,model.layers.0.self_attn.o_proj.weight,attention,BF16,4096x4096,33554432,22183214,22183152,62,11371218,1.51260462077,66.1111295223,synthesized,merge.fields,3,2,2,50331648,22183123,"{""literal"":2,""merge.fields"":1}","{""literal"":22183143,""merge.fields"":4}","{""rans"":2}","{""rans"":22183123}","{""rans"":50331648}","{""rans"":22179673}",ee0860d5689facc0
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,8,model.layers.0.self_attn.q_proj.weight,attention,BF16,4096x4096,33554432,23992104,23992042,62,9562328,1.39856146005,71.5020418167,synthesized,merge.fields,3,2,2,50331648,23992013,"{""literal"":2,""merge.fields"":1}","{""literal"":23992033,""merge.fields"":4}","{""rans"":2}","{""rans"":23992013}","{""rans"":50331648}","{""rans"":23988139}",57d15de45443ba37
/workspace/Brevis/results/llama31-8b-shard1-extra-minimal/archives/llama-3.1-8b-bf16-shard1/budget-32/model-00001-of-00004.budget-32.brv,/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,9,model.layers.0.self_attn.v_proj.weight,attention,BF16,1024x4096,8388608,5718620,5718558,62,2669988,1.46689376108,68.1712627411,synthesized,merge.fields,3,2,2,12582912,5718530,"{""literal"":2,""merge.fields"":1}","{""literal"":5718549,""merge.fields"":4}","{""rans"":2}","{""rans"":5718530}","{""rans"":12582912}","{""rans"":5715496}",2b7afea7500b0428
