shard,tensor_name,role,shape,parameters,bf16_payload_bytes,distinct_bf16_symbols,empirical_bf16_symbol_h0_bits_per_weight,distinct_exponents,empirical_exponent_h0_bits_per_exponent,empirical_adjacent_exponent_h1_conditional_bits_per_exponent,finite_sequence_adjacent_exponent_reference_bits_per_weight
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.embed_tokens.weight,embedding,128256x4096,525336576,1050673152,9158,10.5135405408,55,2.59097487151,2.56726813742,2.56726813253
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.input_layernorm.weight,norm,4096,4096,8192,1631,10.1403981357,23,3.46260541932,3.40833730773,3.40750519413
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.mlp.down_proj.weight,mlp,4096x14336,58720256,117440512,5722,10.487151769,33,2.56222797592,2.56212267078,2.56212262715
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.mlp.gate_proj.weight,mlp,14336x4096,58720256,117440512,5634,10.4978379686,35,2.57107501241,2.57072466449,2.57072462071
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.mlp.up_proj.weight,mlp,14336x4096,58720256,117440512,5375,10.4916982153,31,2.56677073668,2.56675975021,2.5667597065
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.post_attention_layernorm.weight,norm,4096,4096,8192,127,4.07851871336,13,0.246403499687,0.243132557066,0.243073198531
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.self_attn.k_proj.weight,attention,1024x4096,4194304,8388608,5449,11.3200830002,30,3.36430754395,3.36141783856,3.36141703713
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.self_attn.o_proj.weight,attention,4096x4096,16777216,33554432,5282,10.5595240415,30,2.6276150861,2.62221244987,2.62221229357
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.self_attn.q_proj.weight,attention,4096x4096,16777216,33554432,6226,11.4234304279,34,3.46580706841,3.46078114086,3.46078093458
/workspace/checkpoints/llama-3.1-8b-bf16/model-00001-of-00004.safetensors,model.layers.0.self_attn.v_proj.weight,attention,1024x4096,4194304,8388608,4575,10.8897130704,26,2.94417302868,2.94396738303,2.94396668113
