variant,max_expansions,calibration_tensors,workers,source_bytes,output_bytes,archive_percent,wall_seconds,throughput_gib_s,peak_rss_gib
budget-0,0,32,32,4976698672,3280417329,65.91553045910432,2.558742811990669,1.8114019895131903,6.244190216064453
budget-1,1,32,32,4976698672,3279827860,65.90368588022079,9.043572182999924,0.51250896509735,7.824684143066406
budget-128,128,32,32,4976698672,3275192857,65.81055179062687,826.2946695559949,0.005609272322648551,15.231204986572266
budget-16,16,32,32,4976698672,3280416953,65.91552290389504,58.30776413198328,0.07949047419827417,7.677257537841797
budget-2,2,32,32,4976698672,3280417329,65.91553045910432,7.131477178016212,0.6499231091393302,6.627433776855469
budget-256,256,32,32,4976698672,3274938155,65.80543389989677,1399.8897285279818,0.0033109120853156023,15.126327514648438
budget-32,32,32,32,4976698672,3277291303,65.85271721269284,135.04098380100913,0.03432226047110475,14.969402313232422
budget-4,4,32,32,4976698672,3280417329,65.91553045910432,19.181063778989483,0.2416399775162342,6.967716217041016
budget-64,64,32,32,4976698672,3277200300,65.85088863101656,361.75175560699427,0.012812410025530943,16.141021728515625
budget-8,8,32,32,4976698672,3280417329,65.91553045910432,34.40242680400843,0.13472630424294463,6.984413146972656
