group,baseline,models,wins,ties,losses,win_rate,win_rate_ci_low,win_rate_ci_high,brevis_geomean_compression_ratio,baseline_geomean_compression_ratio,geomean_compression_advantage,geomean_compression_advantage_ci_low,geomean_compression_advantage_ci_high,brevis_total_byte_compression_ratio,baseline_total_byte_compression_ratio,total_byte_compression_advantage,total_byte_compression_advantage_ci_low,total_byte_compression_advantage_ci_high,macro_archive_saving_fraction,macro_archive_saving_percent,macro_archive_saving_fraction_ci_low,macro_archive_saving_fraction_ci_high,pooled_archive_saving_fraction,pooled_archive_saving_percent,pooled_archive_saving_fraction_ci_low,pooled_archive_saving_fraction_ci_high,total_archive_bytes_saved
audio,zstd-9,2,2,0,0,1.0,1.0,1.0,1.33232799427155,1.187077426776969,1.1223598092408769,1.0800182384191088,1.1663613600110196,1.4114246166743853,1.2374419074444054,1.1405986884582673,1.080018238419109,1.1663613600110199,0.10836124376332035,10.836124376332034,0.07408971031474126,0.14263277721189943,0.12326744707054914,12.326744707054914,0.07408971031474126,0.14263277721189943,1239566437
audio,zipnn,2,1,0,1,0.5,0.0,1.0,1.33232799427155,1.329487162949172,1.0021367873278868,0.9977544273110972,1.006538395647456,1.4114246166743853,1.405916972425317,1.0039174747563984,0.9977544273110972,1.0065383956474563,0.002122648049958123,0.21226480499581232,-0.0022506266346063943,0.00649592273452264,0.0039021880332831844,0.39021880332831843,-0.0022506266346063943,0.00649592273452264,34537806
audio,lz4-hc-9,2,2,0,0,1.0,1.0,1.0,1.33232799427155,1.0050942979993804,1.325575119591785,1.1726024241168158,1.4985039784513752,1.4114246166743853,1.007251797769359,1.4012629412030835,1.1726024241168158,1.4985039784513754,0.23993190160901282,23.993190160901282,0.1471960321477393,0.33266777107028633,0.2863580627191716,28.635806271917158,0.1471960321477393,0.33266777107028633,3537672220
audio,libdeflate-1,2,2,0,0,1.0,1.0,1.0,1.33232799427155,1.1796536404954625,1.1294230344696459,1.0813403664628443,1.1796437369329018,1.4114246166743853,1.2269924169056126,1.1503124202135637,1.0813403664628443,1.1796437369329018,0.11375411543992645,11.375411543992644,0.07522179785899931,0.1522864330208536,0.13067095301436213,13.067095301436213,0.07522179785899931,0.1522864330208536,1325206040
audio,snappy,2,2,0,0,1.0,1.0,1.0,1.33232799427155,1.0000865276018824,1.332212721099596,1.1735940787868522,1.5122696734242187,1.4114246166743853,1.0001469944434662,1.4112171755910494,1.1735940787868524,1.512269673424219,0.24332945277304371,24.332945277304372,0.14791662801016942,0.338742277535918,0.29139184436217086,29.139184436217086,0.14791662801016942,0.338742277535918,3625432177
image-generation,zstd-9,2,2,0,0,1.0,1.0,1.0,1.3248758588854053,1.1859825790271634,1.1171124115264603,1.0662968073464802,1.1703496919324081,1.4649828967294982,1.2670138954184629,1.1562484847458214,1.0662968073464802,1.170349691932408,0.10386466962143331,10.38646696214333,0.06217481557640823,0.1455545236664584,0.1351340017368062,13.51340017368062,0.06217481557640823,0.1455545236664584,6893926569
image-generation,zipnn,2,1,0,1,0.5,0.0,1.0,1.3248758588854053,1.3326246257816519,0.9941853341546188,0.9812937707027909,1.0072462581111135,1.4649828967294982,1.4595399992441958,1.003729186927471,0.9812937707027908,1.0072462581111135,-0.005934347613280377,-0.5934347613280377,-0.019062822832159685,0.00719412760559893,0.003715331760837227,0.3715331760837227,-0.019062822832159685,0.00719412760559893,164537537
image-generation,lz4-hc-9,2,2,0,0,1.0,1.0,1.0,1.3248758588854053,1.0040570882160345,1.3195224399435175,1.1601094999453836,1.5008406271963672,1.4649828967294982,1.0070930576300248,1.4546648749391817,1.1601094999453836,1.5008406271963672,0.23585956962892207,23.585956962892208,0.13801240309895005,0.3337067361588941,0.31255644016164946,31.255644016164947,0.13801240309895005,0.3337067361588941,20060522612
image-generation,libdeflate-1,2,2,0,0,1.0,1.0,1.0,1.3248758588854053,1.1800325155540055,1.1227452137311642,1.066835182281986,1.1815853431641394,1.4649828967294982,1.256380463533448,1.1660344451786333,1.066835182281986,1.1815853431641394,0.10816375003129741,10.81637500312974,0.06264808603239341,0.1536794140302014,0.14239240175550505,14.239240175550504,0.06264808603239341,0.1536794140302014,7325698389
image-generation,snappy,2,2,0,0,1.0,1.0,1.0,1.3248758588854053,1.000013579163659,1.324857868423585,1.1603303129001377,1.5127143986584346,1.4649828967294982,1.000016010556209,1.4649594419140093,1.1603303129001377,1.5127143986584346,0.2385565613036667,23.855656130366672,0.1381764408958746,0.3389366817114588,0.3173872454151544,31.738724541515438,0.1381764408958746,0.3389366817114588,20514734945
language,zstd-9,8,8,0,0,1.0,1.0,1.0,1.437723094399259,1.2554665200576158,1.1451703979595402,1.1054774677155952,1.173287905581202,1.5135670164637898,1.2963692781676606,1.1675431082439143,1.1325213394786677,1.174981334465,0.12578477267729324,12.578477267729324,0.09353435988581955,0.1476921357793935,0.14350057574825953,14.350057574825954,0.11701443042095011,0.14892265037100988,228384343001
language,zipnn,8,8,0,0,1.0,1.0,1.0,1.437723094399259,1.427401723397884,1.0072308802996295,1.005959373098012,1.008063803825472,1.5135670164637898,1.5026581980104652,1.007259680523334,1.0070776639694812,1.0082619829322679,0.007177709001973652,0.7177709001973652,0.0059216929157846505,0.007999186990683218,0.00720735741111186,0.720735741111186,0.007027922694247729,0.00819428191494452,9895944895
language,lz4-hc-9,8,8,0,0,1.0,1.0,1.0,1.437723094399259,1.005931815310529,1.4292450765715536,1.347665164023731,1.5078133183443438,1.5135670164637898,1.0079945630576344,1.5015626789419976,1.4323291215483087,1.5091774020659379,0.29724939617849316,29.724939617849316,0.2534170406897451,0.3367866504129069,0.33402713451522326,33.402713451522324,0.30183643805241595,0.33738737498250143,683699043814
language,libdeflate-1,8,8,0,0,1.0,1.0,1.0,1.437723094399259,1.2463332269140037,1.1535623566412878,1.1093261883563514,1.1857220412678093,1.5135670164637898,1.28309800766963,1.179619177503626,1.140957843128653,1.1882068711819764,0.13190779631902683,13.190779631902682,0.09627378793674748,0.156630229559312,0.15226878379829814,15.226878379829815,0.12354342798689955,0.15839571016346377,244845689414
language,snappy,8,8,0,0,1.0,1.0,1.0,1.437723094399259,0.9999220848611547,1.4378351235225446,1.329484524359873,1.519754811947186,1.5135670164637898,0.9998837209477495,1.513743033069026,1.4452666532421494,1.5208949204453657,0.3012276251591839,30.12276251591839,0.24385693188712343,0.34199891519321723,0.33938589433336114,33.93858943333611,0.3080861599091683,0.3424923796134655,700302544871
