checkpoint,domain,numeric_format,baseline,brevis_exactness,baseline_exactness,source_bytes,brevis_output_bytes,baseline_output_bytes,brevis_compression_ratio,baseline_compression_ratio,compression_advantage,relative_archive_saving_fraction,relative_archive_saving_percent,archive_bytes_saved,winner
bert-fp32,language,FP32,zstd-9,byte-exact,byte-exact,440449768,365110189,407033742,1.2063475117096774,1.0820964518464908,1.1148243852488051,0.1029977337849303,10.299773378493029,41923553,brevis
bert-fp32,language,FP32,zipnn,byte-exact,tensor-exact,440449768,365110189,366266977,1.2063475117096774,1.2025374812864988,1.0031683257133095,0.0031583191296003735,0.3158319129600374,1156788,brevis
bert-fp32,language,FP32,lz4-hc-9,byte-exact,byte-exact,440449768,365110189,440445503,1.2063475117096774,1.0000096833773326,1.2063358303046425,0.1710434400779885,17.10434400779885,75335314,brevis
bert-fp32,language,FP32,libdeflate-1,byte-exact,byte-exact,440449768,365110189,407137645,1.2063475117096774,1.0818202969170292,1.1151089650910837,0.10322665200856089,10.32266520085609,42027456,brevis
bert-fp32,language,FP32,snappy,byte-exact,byte-exact,440449768,365110189,440483882,1.2063475117096774,0.9999225533523608,1.2064409465165598,0.17111566638436046,17.111566638436045,75373693,brevis
whisper-large-v3-f16,audio,FP16,zstd-9,byte-exact,byte-exact,3087130976,2630581067,2841075530,1.1735547764436183,1.0866064430184297,1.0800182384191088,0.07408971031474126,7.408971031474127,210494463,brevis
whisper-large-v3-f16,audio,FP16,zipnn,byte-exact,tensor-exact,3087130976,2630581067,2624673906,1.1735547764436183,1.1761960100806519,0.9977544273110972,-0.0022506266346063943,-0.22506266346063944,-5907161,zipnn
whisper-large-v3-f16,audio,FP16,lz4-hc-9,byte-exact,byte-exact,3087130976,2630581067,3084625736,1.1735547764436183,1.0008121698430905,1.1726024241168158,0.1471960321477393,14.71960321477393,454044669,brevis
whisper-large-v3-f16,audio,FP16,libdeflate-1,byte-exact,byte-exact,3087130976,2630581067,2844553495,1.1735547764436183,1.0852778762735134,1.0813403664628443,0.07522179785899931,7.522179785899931,213972428,brevis
whisper-large-v3-f16,audio,FP16,snappy,byte-exact,byte-exact,3087130976,2630581067,3087234364,1.1735547764436183,0.9999665111268501,1.1735940787868522,0.14791662801016942,14.791662801016942,456653297,brevis
sdxl-base-1.0-f16,image-generation,FP16,zstd-9,byte-exact,byte-exact,6938078334,5979336681,6375747613,1.1603424767911978,1.0881983972912324,1.0662968073464802,0.06217481557640823,6.217481557640823,396410932,brevis
sdxl-base-1.0-f16,image-generation,FP16,zipnn,byte-exact,tensor-exact,6938078334,5979336681,5867485838,1.1603424767911978,1.1824618798508977,0.9812937707027909,-0.019062822832159685,-1.9062822832159685,-111850843,zipnn
sdxl-base-1.0-f16,image-generation,FP16,lz4-hc-9,byte-exact,byte-exact,6938078334,5979336681,6936685287,1.1603424767911978,1.000200823151457,1.1601094999453836,0.13801240309895005,13.801240309895006,957348606,brevis
sdxl-base-1.0-f16,image-generation,FP16,libdeflate-1,byte-exact,byte-exact,6938078334,5979336681,6378966738,1.1603424767911978,1.0876492414781425,1.066835182281986,0.06264808603239341,6.2648086032393415,399630057,brevis
sdxl-base-1.0-f16,image-generation,FP16,snappy,byte-exact,byte-exact,6938078334,5979336681,6938005602,1.1603424767911978,1.000010483127886,1.1603303129001377,0.1381764408958746,13.81764408958746,958668921,brevis
llama-3.1-8b-bf16,language,BF16,zstd-9,byte-exact,byte-exact,16060556376,10579234560,12380929936,1.518120832363887,1.2972011358614315,1.1703048898085875,0.14552181341089854,14.552181341089854,1801695376,brevis
llama-3.1-8b-bf16,language,BF16,zipnn,byte-exact,tensor-exact,16060556376,10579234560,10659934698,1.518120832363887,1.5066280264374656,1.0076281641684293,0.007570415793929848,0.7570415793929848,80700138,brevis
llama-3.1-8b-bf16,language,BF16,lz4-hc-9,byte-exact,byte-exact,16060556376,10579234560,15936490262,1.518120832363887,1.0077850337157255,1.5063935081140691,0.3361628322124469,33.61628322124469,5357255702,brevis
llama-3.1-8b-bf16,language,BF16,libdeflate-1,byte-exact,byte-exact,16060556376,10579234560,12499823800,1.518120832363887,1.2848626215035126,1.1815433081767308,0.15364930504060384,15.364930504060384,1920589240,brevis
llama-3.1-8b-bf16,language,BF16,snappy,byte-exact,byte-exact,16060556376,10579234560,16060980257,1.518120832363887,0.9999736080243411,1.5181608996293965,0.34130828936240315,34.13082893624031,5481745697,brevis
ministral-3-8b-base-2512-bf16,language,BF16,zstd-9,byte-exact,byte-exact,17836123192,11739573945,13792606776,1.5193160565760209,1.293165496680147,1.1748813747942197,0.14885024015709675,14.885024015709675,2053032831,brevis
ministral-3-8b-base-2512-bf16,language,BF16,zipnn,byte-exact,tensor-exact,17836123192,11739573945,11828396141,1.5193160565760209,1.5079071565903857,1.0075660493656868,0.007509234129563973,0.7509234129563973,88822196,brevis
ministral-3-8b-base-2512-bf16,language,BF16,lz4-hc-9,byte-exact,byte-exact,17836123192,11739573945,17694646357,1.5193160565760209,1.0079954598778422,1.5072647814903304,0.33654656283334955,33.65465628333496,5955072412,brevis
ministral-3-8b-base-2512-bf16,language,BF16,libdeflate-1,byte-exact,byte-exact,17836123192,11739573945,13939472701,1.5193160565760209,1.2795407383466133,1.187391703166277,0.15781793208305375,15.781793208305375,2199898756,brevis
ministral-3-8b-base-2512-bf16,language,BF16,snappy,byte-exact,byte-exact,17836123192,11739573945,17834708765,1.5193160565760209,1.0000793075467975,1.5191955729020283,0.34175690224678584,34.17569022467858,6095134820,brevis
qwen3-32b-fp8,language,FP8,zstd-9,byte-exact,byte-exact,34322567640,27853503957,28414788053,1.2322531374503862,1.2079121468715746,1.0201512921629718,0.01975323887523209,1.975323887523209,561284096,brevis
qwen3-32b-fp8,language,FP8,zipnn,byte-exact,tensor-exact,34322567640,27853503957,28081825031,1.2322531374503862,1.2222342245246076,1.0081972118966605,0.008130563941195152,0.8130563941195151,228321074,brevis
