checkpoint,revision,method,exactness,status,verified_shards,expected_shards,source_bytes,expected_source_bytes,output_bytes,compression_ratio,archive_percent,missing_shards,unexpected_shards,validation_errors
bert-fp32,86b5e0934494bd15c9632b12f734a8a67f723594,brevis,byte-exact,complete,1,1,440449768,440449768,365110189,1.2063475117096774,82.89485329005781,,,
bert-fp32,86b5e0934494bd15c9632b12f734a8a67f723594,zstd-9,byte-exact,complete,1,1,440449768,440449768,407033742,1.0820964518464908,92.41320385937858,,,
bert-fp32,86b5e0934494bd15c9632b12f734a8a67f723594,zipnn,tensor-exact,complete,1,1,440449768,440449768,366266977,1.2025374812864988,83.15749118523772,,,
bert-fp32,86b5e0934494bd15c9632b12f734a8a67f723594,lz4-hc-9,byte-exact,complete,1,1,440449768,440449768,440445503,1.0000096833773326,99.99903167164342,,,
bert-fp32,86b5e0934494bd15c9632b12f734a8a67f723594,libdeflate-1,byte-exact,complete,1,1,440449768,440449768,407137645,1.0818202969170292,92.43679406365358,,,
bert-fp32,86b5e0934494bd15c9632b12f734a8a67f723594,snappy,byte-exact,complete,1,1,440449768,440449768,440483882,0.9999225533523608,100.0077452646087,,,
whisper-large-v3-f16,06f233fe06e710322aca913c1bc4249a0d71fce1,brevis,byte-exact,complete,1,1,3087130976,3087130976,2630581067,1.1735547764436183,85.21119082574357,,,
whisper-large-v3-f16,06f233fe06e710322aca913c1bc4249a0d71fce1,zstd-9,byte-exact,complete,1,1,3087130976,3087130976,2841075530,1.0866064430184297,92.02964020921411,,,
whisper-large-v3-f16,06f233fe06e710322aca913c1bc4249a0d71fce1,zipnn,tensor-exact,complete,1,1,3087130976,3087130976,2624673906,1.1761960100806519,85.0198429028364,,,
whisper-large-v3-f16,06f233fe06e710322aca913c1bc4249a0d71fce1,lz4-hc-9,byte-exact,complete,1,1,3087130976,3087130976,3084625736,1.0008121698430905,99.9188489241475,,,
whisper-large-v3-f16,06f233fe06e710322aca913c1bc4249a0d71fce1,libdeflate-1,byte-exact,complete,1,1,3087130976,3087130976,2844553495,1.0852778762735134,92.1423003142449,,,
whisper-large-v3-f16,06f233fe06e710322aca913c1bc4249a0d71fce1,snappy,byte-exact,complete,1,1,3087130976,3087130976,3087234364,0.9999665111268501,100.00334899946921,,,
sdxl-base-1.0-f16,462165984030d82259a11f4367a4eed129e94a7b,brevis,byte-exact,complete,1,1,6938078334,6938078334,5979336681,1.1603424767911978,86.181452459225,,,
sdxl-base-1.0-f16,462165984030d82259a11f4367a4eed129e94a7b,zstd-9,byte-exact,complete,1,1,6938078334,6938078334,6375747613,1.0881983972912324,91.89500760975409,,,
sdxl-base-1.0-f16,462165984030d82259a11f4367a4eed129e94a7b,zipnn,tensor-exact,complete,1,1,6938078334,6938078334,5867485838,1.1824618798508977,84.5693224483562,,,
sdxl-base-1.0-f16,462165984030d82259a11f4367a4eed129e94a7b,lz4-hc-9,byte-exact,complete,1,1,6938078334,6938078334,6936685287,1.000200823151457,99.97992171703837,,,
sdxl-base-1.0-f16,462165984030d82259a11f4367a4eed129e94a7b,libdeflate-1,byte-exact,complete,1,1,6938078334,6938078334,6378966738,1.0876492414781425,91.9414055436636,,,
sdxl-base-1.0-f16,462165984030d82259a11f4367a4eed129e94a7b,snappy,byte-exact,complete,1,1,6938078334,6938078334,6938005602,1.000010483127886,99.99895169820088,,,
llama-3.1-8b-bf16,d04e592bb4f6aa9cfee91e2e20afa771667e1d4b,brevis,byte-exact,complete,4,4,16060556376,16060556376,10579234560,1.518120832363887,65.87090952720055,,,
llama-3.1-8b-bf16,d04e592bb4f6aa9cfee91e2e20afa771667e1d4b,zstd-9,byte-exact,complete,4,4,16060556376,16060556376,12380929936,1.2972011358614315,77.08904751582187,,,
llama-3.1-8b-bf16,d04e592bb4f6aa9cfee91e2e20afa771667e1d4b,zipnn,tensor-exact,complete,4,4,16060556376,16060556376,10659934698,1.5066280264374656,66.37338363899778,,,
llama-3.1-8b-bf16,d04e592bb4f6aa9cfee91e2e20afa771667e1d4b,lz4-hc-9,byte-exact,complete,4,4,16060556376,16060556376,15936490262,1.0077850337157255,99.2275104853441,,,
llama-3.1-8b-bf16,d04e592bb4f6aa9cfee91e2e20afa771667e1d4b,libdeflate-1,byte-exact,complete,4,4,16060556376,16060556376,12499823800,1.2848626215035126,77.82933235537868,,,
llama-3.1-8b-bf16,d04e592bb4f6aa9cfee91e2e20afa771667e1d4b,snappy,byte-exact,complete,4,4,16060556376,16060556376,16060980257,0.9999736080243411,100.00263926722137,,,
ministral-3-8b-base-2512-bf16,d4883f9b36aa2e5d775730d3fdba3d30de51a8ef,brevis,byte-exact,complete,4,4,17836123192,17836123192,11739573945,1.5193160565760209,65.81908982477496,,,
ministral-3-8b-base-2512-bf16,d4883f9b36aa2e5d775730d3fdba3d30de51a8ef,zstd-9,byte-exact,complete,4,4,17836123192,17836123192,13792606776,1.293165496680147,77.32962274103585,,,
ministral-3-8b-base-2512-bf16,d4883f9b36aa2e5d775730d3fdba3d30de51a8ef,zipnn,tensor-exact,complete,4,4,17836123192,17836123192,11828396141,1.5079071565903857,66.31708030759378,,,
ministral-3-8b-base-2512-bf16,d4883f9b36aa2e5d775730d3fdba3d30de51a8ef,lz4-hc-9,byte-exact,complete,4,4,17836123192,17836123192,17694646357,1.0079954598778422,99.20679604263186,,,
ministral-3-8b-base-2512-bf16,d4883f9b36aa2e5d775730d3fdba3d30de51a8ef,libdeflate-1,byte-exact,complete,4,4,17836123192,17836123192,13939472701,1.2795407383466133,78.15304116789372,,,
ministral-3-8b-base-2512-bf16,d4883f9b36aa2e5d775730d3fdba3d30de51a8ef,snappy,byte-exact,complete,4,4,17836123192,17836123192,17834708765,1.0000793075467975,99.99206987423906,,,
qwen3-32b-fp8,aa55da1ecc13d006e8b8e4f54579b1ea8c3db2df,brevis,byte-exact,complete,7,7,34322567640,34322567640,27853503957,1.2322531374503862,81.152156939853,,,
qwen3-32b-fp8,aa55da1ecc13d006e8b8e4f54579b1ea8c3db2df,zstd-9,byte-exact,complete,7,7,34322567640,34322567640,28414788053,1.2079121468715746,82.78747776400333,,,
qwen3-32b-fp8,aa55da1ecc13d006e8b8e4f54579b1ea8c3db2df,zipnn,tensor-exact,complete,7,7,34322567640,34322567640,28081825031,1.2222342245246076,81.81737836616001,,,
qwen3-32b-fp8,aa55da1ecc13d006e8b8e4f54579b1ea8c3db2df,lz4-hc-9,byte-exact,complete,7,7,34322567640,34322567640,34296936009,1.000747344631406,99.9253213475494,,,
qwen3-32b-fp8,aa55da1ecc13d006e8b8e4f54579b1ea8c3db2df,libdeflate-1,byte-exact,complete,7,7,34322567640,34322567640,28293432547,1.213093094412798,82.4339042572865,,,
qwen3-32b-fp8,aa55da1ecc13d006e8b8e4f54579b1ea8c3db2df,snappy,byte-exact,complete,7,7,34322567640,34322567640,34326564177,0.9998835730549847,100.01164405018272,,,
qwen3-32b-bf16,9216db5781bf21249d130ec9da846c4624c16137,brevis,byte-exact,complete,17,17,65524328560,65524328560,43283947017,1.5138251725117622,66.0578261055591,,,
qwen3-32b-bf16,9216db5781bf21249d130ec9da846c4624c16137,zstd-9,byte-exact,complete,17,17,65524328560,65524328560,50842111995,1.2887806188390425,77.59272488911407,,,
qwen3-32b-bf16,9216db5781bf21249d130ec9da846c4624c16137,zipnn,tensor-exact,complete,17,17,65524328560,65524328560,43653490329,1.5010100696683744,66.62180489041856,,,
qwen3-32b-bf16,9216db5781bf21249d130ec9da846c4624c16137,lz4-hc-9,byte-exact,complete,17,17,65524328560,65524328560,65052546156,1.007252328031383,99.2799889531596,,,
qwen3-32b-bf16,9216db5781bf21249d130ec9da846c4624c16137,libdeflate-1,byte-exact,complete,17,17,65524328560,65524328560,51359495607,1.2757977426684348,78.38233025153491,,,
qwen3-32b-bf16,9216db5781bf21249d130ec9da846c4624c16137,snappy,byte-exact,complete,17,17,65524328560,65524328560,65532327386,0.9998779407611623,100.01220741391141,,,
llama-3.1-70b-bf16,349b2ddb53ce8f2849a6c168a81980ab25258dac,brevis,byte-exact,complete,30,30,141107497872,141107497872,92732903277,1.5216551287141473,65.71791341741381,,,
llama-3.1-70b-bf16,349b2ddb53ce8f2849a6c168a81980ab25258dac,zstd-9,byte-exact,complete,30,30,141107497872,141107497872,108575585475,1.2996245634290464,76.94529852232941,,,
llama-3.1-70b-bf16,349b2ddb53ce8f2849a6c168a81980ab25258dac,zipnn,tensor-exact,complete,30,30,141107497872,141107497872,93497004654,1.5092194492667432,66.259416447744,,,
llama-3.1-70b-bf16,349b2ddb53ce8f2849a6c168a81980ab25258dac,lz4-hc-9,byte-exact,complete,30,30,141107497872,141107497872,139999597025,1.007913600257022,99.21485331133502,,,
llama-3.1-70b-bf16,349b2ddb53ce8f2849a6c168a81980ab25258dac,libdeflate-1,byte-exact,complete,30,30,141107497872,141107497872,109668457566,1.2866734975923186,77.71979463875218,,,
llama-3.1-70b-bf16,349b2ddb53ce8f2849a6c168a81980ab25258dac,snappy,byte-exact,complete,30,30,141107497872,141107497872,141124663090,0.9998783684040468,100.01216463919981,,,
mixtral-8x22b-v0.1-bf16,e1cd34ff1747406fb2277635ed25242803009bc2,brevis,byte-exact,complete,59,59,281241493344,281241493344,184849546611,1.52146163461168,65.72627118890371,,,
mixtral-8x22b-v0.1-bf16,e1cd34ff1747406fb2277635ed25242803009bc2,zstd-9,byte-exact,complete,59,59,281241493344,281241493344,217404163163,1.2936343501993455,77.30159606892803,,,
mixtral-8x22b-v0.1-bf16,e1cd34ff1747406fb2277635ed25242803009bc2,zipnn,tensor-exact,complete,59,59,281241493344,281241493344,186232501874,1.5101633201184215,66.21800348862821,,,
mixtral-8x22b-v0.1-bf16,e1cd34ff1747406fb2277635ed25242803009bc2,lz4-hc-9,byte-exact,complete,59,59,281241493344,281241493344,279149643975,1.0074936487083155,99.25620883884251,,,
mixtral-8x22b-v0.1-bf16,e1cd34ff1747406fb2277635ed25242803009bc2,libdeflate-1,byte-exact,complete,59,59,281241493344,281241493344,219969861405,1.2785455768696832,78.21387192534364,,,
mixtral-8x22b-v0.1-bf16,e1cd34ff1747406fb2277635ed25242803009bc2,snappy,byte-exact,complete,59,59,281241493344,281241493344,281275433625,0.9998793343572079,100.01206802047466,,,
glm-5.2-bf16,b4734de4facf877f85769a911abafc5283eab3d9,brevis,byte-exact,complete,282,282,1506667387408,1506667387408,991733974620,1.5192253426482698,65.82301992519614,,,
glm-5.2-bf16,b4734de4facf877f85769a911abafc5283eab3d9,zstd-9,byte-exact,complete,282,282,1506667387408,1506667387408,1159704918037,1.2991816831804883,76.971528535711,,,
glm-5.2-bf16,b4734de4facf877f85769a911abafc5283eab3d9,zipnn,tensor-exact,complete,282,282,1506667387408,1506667387408,998714319367,1.5086069741775088,66.28631692129086,,,
glm-5.2-bf16,b4734de4facf877f85769a911abafc5283eab3d9,lz4-hc-9,byte-exact,complete,282,282,1506667387408,1506667387408,1494266532703,1.0082989576716062,99.17693481596268,,,
glm-5.2-bf16,b4734de4facf877f85769a911abafc5283eab3d9,libdeflate-1,byte-exact,complete,282,282,1506667387408,1506667387408,1171845802319,1.285721538129344,77.77733905390949,,,
glm-5.2-bf16,b4734de4facf877f85769a911abafc5283eab3d9,snappy,byte-exact,complete,282,282,1506667387408,1506667387408,1506845177865,0.999882011463678,100.01180024592594,,,
voxtral-mini-3b-2507-bf16,3060fe34b35ba5d44202ce9ff3c097642914f8f3,brevis,byte-exact,complete,2,2,9356474312,9356474312,6185763172,1.5125820455513552,66.11211622808119,,,
voxtral-mini-3b-2507-bf16,3060fe34b35ba5d44202ce9ff3c097642914f8f3,zstd-9,byte-exact,complete,2,2,9356474312,9356474312,7214835146,1.2968382676335097,77.11061779699139,,,
voxtral-mini-3b-2507-bf16,3060fe34b35ba5d44202ce9ff3c097642914f8f3,zipnn,tensor-exact,complete,2,2,9356474312,9356474312,6226208139,1.5027564294538276,66.54438340107099,,,
voxtral-mini-3b-2507-bf16,3060fe34b35ba5d44202ce9ff3c097642914f8f3,lz4-hc-9,byte-exact,complete,2,2,9356474312,9356474312,9269390723,1.0093947478968517,99.0692691916194,,,
voxtral-mini-3b-2507-bf16,3060fe34b35ba5d44202ce9ff3c097642914f8f3,libdeflate-1,byte-exact,complete,2,2,9356474312,9356474312,7296996784,1.282236321182953,77.98874384383603,,,
voxtral-mini-3b-2507-bf16,3060fe34b35ba5d44202ce9ff3c097642914f8f3,snappy,byte-exact,complete,2,2,9356474312,9356474312,9354542052,1.0002065584813515,99.97934841762434,,,
qwen-image-bf16,75e0b4be04f60ec59a75f475837eced720f823b6,brevis,byte-exact,complete,14,14,57699249390,57699249390,38142221235,1.5127396234872161,66.10522951033488,,,
qwen-image-bf16,75e0b4be04f60ec59a75f475837eced720f823b6,zstd-9,byte-exact,complete,14,14,57699249390,57699249390,44639736872,1.2925535281591567,77.36623499254156,,,
qwen-image-bf16,75e0b4be04f60ec59a75f475837eced720f823b6,zipnn,tensor-exact,complete,14,14,57699249390,57699249390,38418609615,1.5018567816018034,66.58424506586117,,,
qwen-image-bf16,75e0b4be04f60ec59a75f475837eced720f823b6,lz4-hc-9,byte-exact,complete,14,14,57699249390,57699249390,57245395241,1.0079282210750629,99.21341411925081,,,
qwen-image-bf16,75e0b4be04f60ec59a75f475837eced720f823b6,libdeflate-1,byte-exact,complete,14,14,57699249390,57699249390,45068289567,1.2802626845694332,78.10897029591324,,,
qwen-image-bf16,75e0b4be04f60ec59a75f475837eced720f823b6,snappy,byte-exact,complete,14,14,57699249390,57699249390,57698287259,1.0000166752090176,99.99833250690403,,,
