status,measurement,scope,n,checkpoint,shard,cache,budget,workers,calibration_tensors,source_bytes,output_bytes,compression_ratio_x,wall_seconds,throughput_mib_per_second,saved_bytes_vs_budget0,saved_mib_vs_budget0,saved_percent_vs_budget0,peak_rss_bytes,peak_rss_gib,exact_verified,run_id,attempt_id
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,0,32,32,4976698672,3280417329,1.5170931539729102,2.558742811990669,1854.8756372615069,0,0.0,0.0,6704648192,6.244190216064453,True,2f03766c868c8c25d64c,fb91d45d7d0240a6ba4c15b650fa3188
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,1,32,32,4976698672,3279827860,1.517365814436371,9.043572182999924,524.8091802596864,589469,0.5621614456176758,0.017969329535876256,8401690624,7.824684143066406,True,1d8b73e9287dee2c0149,e0a106a7c7ce4b5dae252542505ac3d7
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,2,32,32,4976698672,3280417329,1.5170931539729102,7.131477178016212,665.5212637586741,0,0.0,0.0,7116152832,6.627433776855469,True,9a58535e0706151d5cb5,7a8c9f96b6aa4a8f97e7b4519e6b1c6d
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,4,32,32,4976698672,3280417329,1.5170931539729102,19.181063778989483,247.43933697662382,0,0.0,0.0,7481528320,6.967716217041016,True,b125d16aa1afd59e226b,fd488cd0f96b47c8b39293f73b096b91
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,8,32,32,4976698672,3280417329,1.5170931539729102,34.40242680400843,137.9597355447753,0,0.0,0.0,7499456512,6.984413146972656,True,7f71a58431fddbc30e95,11da47a334a04e0ab107d02748448698
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,16,32,32,4976698672,3280416953,1.5170933278614842,58.30776413198328,81.39824557903275,376,0.00035858154296875,1.1461956278429353e-05,8243392512,7.677257537841797,True,f88ea28fc9d11bca4466,60aedc75b1a342d99fc2ed0bf9142b90
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,32,32,32,4976698672,3277291303,1.518540224802226,135.04098380100913,35.14599472241127,3126026,2.981210708618164,0.09529354610966329,16073273344,14.969402313232422,True,b5dc040fa284e5c2bd15,8bc49b14f46e4fa59d85d5a6c5fb05de
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,64,32,32,4976698672,3277200300,1.518582392415868,361.75175560699427,13.119907866143686,3217029,3.067997932434082,0.0980676748522322,17331290112,16.141021728515625,True,974898922600c0a81569,72cfebce058e4dd5ae881ffdab96dcfa
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,128,32,32,4976698672,3275192857,1.5195131674042974,826.2946695559949,5.7438948583921166,5224472,4.982444763183594,0.1592624192603148,16354381824,15.231204986572266,True,29a4a868cae737064d9c,bada5307a896499992db127d2015bcf6
complete,measured; exact-verified; n=1 pilot,representative single shard,1,llama-3.1-8b-bf16-shard1,model-00001-of-00004.safetensors,hot,256,32,32,4976698672,3274938155,1.519631344610842,1399.8897285279818,3.3903739753631768,5479174,5.225347518920898,0.16702673624975234,16241770496,15.126327514648438,True,c06a52901d864b832d51,05d2816556924a2dbcb18a1c4304170e
